Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=d2247ae645f7cbae6a8559dc2f34f6c4&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=bbn67&legendRef=reference
,TRD.M.I8.N.M.TTT.J8.4.VAL,TRD.M.I8.N.M.TTT.J8.4.VOX,TRD.M.I8.N.X.TTT.J8.4.VAL,TRD.M.I8.N.X.TTT.J8.4.VOX,TRD.M.I8.Y.M.CAP.J8.4.VAL,TRD.M.I8.Y.M.CAP.J8.4.VOX,TRD.M.I8.Y.M.COM.J8.4.VAL,TRD.M.I8.Y.M.COM.J8.4.VOX,TRD.M.I8.Y.M.INT.J8.4.VAL,TRD.M.I8.Y.M.INT.J8.4.VOX,TRD.M.I8.Y.M.MAN.J8.4.VAL,TRD.M.I8.Y.M.MAN.J8.4.VOX,TRD.M.I8.Y.M.OIL.J8.4.VAL,TRD.M.I8.Y.M.OIL.J8.4.VOX,TRD.M.I8.Y.M.TTT.B2.4.VAL,TRD.M.I8.Y.M.TTT.CH.4.VAL,TRD.M.I8.Y.M.TTT.CN.4.VAL,TRD.M.I8.Y.M.TTT.E4.4.VAL,TRD.M.I8.Y.M.TTT.F2.4.VAL,TRD.M.I8.Y.M.TTT.GB.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VAL,TRD.M.I8.Y.M.TTT.J8.4.VOX,TRD.M.I8.Y.M.TTT.JP.4.VAL,TRD.M.I8.Y.M.TTT.K0.4.VAL,TRD.M.I8.Y.M.TTT.RU.4.VAL,TRD.M.I8.Y.M.TTT.TR.4.VAL,TRD.M.I8.Y.M.TTT.US.4.VAL,TRD.M.I8.Y.M.TTT.Z5.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VAL,TRD.M.I8.Y.X.CAP.J8.4.VOX,TRD.M.I8.Y.X.COM.J8.4.VAL,TRD.M.I8.Y.X.COM.J8.4.VOX,TRD.M.I8.Y.X.INT.J8.4.VAL,TRD.M.I8.Y.X.INT.J8.4.VOX,TRD.M.I8.Y.X.MAN.J8.4.VAL,TRD.M.I8.Y.X.MAN.J8.4.VOX,TRD.M.I8.Y.X.TTT.B2.4.VAL,TRD.M.I8.Y.X.TTT.CH.4.VAL,TRD.M.I8.Y.X.TTT.CN.4.VAL,TRD.M.I8.Y.X.TTT.E4.4.VAL,TRD.M.I8.Y.X.TTT.F2.4.VAL,TRD.M.I8.Y.X.TTT.GB.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VAL,TRD.M.I8.Y.X.TTT.J8.4.VOX,TRD.M.I8.Y.X.TTT.JP.4.VAL,TRD.M.I8.Y.X.TTT.K0.4.VAL,TRD.M.I8.Y.X.TTT.RU.4.VAL,TRD.M.I8.Y.X.TTT.TR.4.VAL,TRD.M.I8.Y.X.TTT.US.4.VAL,TRD.M.I8.Y.X.TTT.Z5.4.VAL
2004Jan,80432644.83,76.60,81126133.44,61.80,13933129.20,69.43,20296719.70,74.36,47515210.75,86.72,60352864.95,74.43,9102232.15,100.80,3373330.15,4366385.35,6818841.19,5604467.46,23728393.64,11725686.17,83027214.46,80.60,4523936.76,14014528.96,4154444.45,1702105.94,8866226.15,5439271.24,19384682.88,69.11,24366080.39,63.92,43470906.88,72.43,79070504.17,71.96,3255569.73,5264535.05,3315435.18,5306227.54,18242892.05,16366854.47,90295873.35,69.93,2819270.34,15486445.45,2918217.78,2553227.14,13364275.34,7311817.16
2003Dec,83979157.94,79.40,89150338.50,67.70,14501821.21,71.59,20101388.44,74.46,47896427.92,86.47,61265895.98,75.06,9769854.02,108.41,3668788.60,4275488.00,7218620.49,5623837.21,24021589.61,12228064.35,85082916.39,82.36,4547144.86,14536945.09,4652134.46,1687811.96,8851638.38,5495010.26,19272912.25,67.27,25070887.47,66.03,43830527.25,73.03,78866377.10,71.59,3112853.60,5391733.24,2947523.28,5063602.05,17831575.94,17589731.87,90625184.05,70.00,2767891.80,15710870.21,2656749.03,2329694.10,14301915.17,6724741.64
2003Nov,84555128.59,80.20,88603735.10,67.20,14152392.77,71.12,19728058.50,72.47,47174090.82,85.17,60111586.64,73.74,9297440.30,102.37,3600548.16,4139459.87,6642957.72,5526474.50,22934659.01,11651539.71,83416315.79,80.74,4359792.25,14033779.49,4575100.64,1723075.71,9455244.24,5684306.80,18601644.14,66.07,24994230.92,65.57,42384718.43,70.06,76789740.23,69.61,3158591.47,5558809.60,3066345.92,5096758.89,17348717.53,16409996.63,88118028.15,67.89,2646482.61,15143741.18,2623273.02,2338854.32,13694056.91,6651523.68
2003Oct,89878405.67,85.10,98204652.42,74.30,14068135.67,70.61,20177477.95,73.42,46671006.61,84.65,60164926.53,73.71,8499663.72,93.95,3375601.50,4234296.91,6737014.19,5579105.83,23114530.59,11687619.75,82994048.71,80.34,4428479.69,14168330.68,4131988.84,1713603.37,9012309.05,6080883.30,18790457.75,66.57,25462941.56,66.79,41948419.91,68.98,77003251.06,69.54,2908019.22,5315728.59,2998782.64,5300761.42,17484784.19,16469197.68,88181360.43,67.76,2725611.94,15263549.55,2603103.86,2334258.33,14135410.09,6307578.13
2003Sep,84218916.33,79.00,91260769.65,68.80,13653509.83,67.96,19410936.40,70.05,46261621.87,83.01,58998888.49,71.81,8868966.94,95.24,3292968.79,4067431.54,6465483.54,5707404.96,22453052.58,11173431.88,81345602.11,77.95,4251666.19,13827698.20,4592737.53,1659319.30,9396176.22,5220305.23,18520494.93,65.37,24819832.21,64.68,42743021.71,70.10,76534694.52,68.76,3199851.05,5042543.32,3066201.97,5004891.55,17302559.01,16066169.34,88469928.25,67.71,2595615.87,15543905.06,2648653.15,2283362.88,14441474.22,7051639.25
2003Aug,69742205.59,65.90,75720616.32,57.30,13023606.71,65.76,19097909.78,69.77,44246178.33,79.88,56682719.13,69.53,8765340.64,94.67,3261129.72,4140587.64,6078257.47,5291615.38,21861641.73,11276482.51,79378642.32,76.72,4193086.70,12971476.84,4207474.82,1631381.54,8912211.51,5721792.32,17943320.56,63.97,24442561.47,63.61,43047196.54,70.88,76237426.06,68.76,2929422.64,5171978.56,3266391.34,4969632.39,17316663.24,16010922.42,87725280.73,67.50,2647606.07,15958987.30,2616798.55,2248704.42,14130102.88,6473820.05
2003Jul,80889352.20,77.70,92890746.33,70.30,13789394.36,69.30,19170561.26,70.62,43818572.78,80.86,57628328.18,70.97,8354640.00,96.29,3226970.31,4188894.13,5939370.54,5790707.46,21598435.54,11189471.17,79086392.14,77.56,4275349.17,13281675.20,4387228.42,1636661.24,9093351.93,4708314.36,18442423.53,64.69,24032034.85,62.96,41198496.27,68.10,75269222.93,67.80,2940380.88,5225293.18,2910301.65,5022152.04,16474092.69,16066660.19,85482921.12,65.68,2611396.85,15062598.55,2559879.43,2087058.28,13653916.07,6367004.49
2003Jun,79799328.09,76.70,85664645.95,65.30,14081337.08,70.93,19584637.03,72.15,44684223.92,82.33,59406873.13,72.97,8045212.93,96.65,3191729.37,4109705.19,6363427.15,5337571.91,22415271.72,11630625.43,80641284.20,78.97,4506326.80,13448708.00,4135357.90,1636240.56,9382004.20,5294665.62,18360453.35,64.73,23411624.15,61.99,41535821.00,69.02,74599519.06,67.71,3295669.81,5335353.98,2801140.85,4866581.43,16152019.90,15787046.08,85311101.29,66.07,2410925.49,15077505.75,2517921.35,2013775.63,13457341.82,6895893.19
2003May,81777886.16,77.60,84860867.49,63.90,13558660.67,67.49,19502909.24,71.45,45585124.34,83.07,58329115.16,71.09,7986098.11,95.53,3342421.10,4404476.43,6321556.24,5471987.98,22213240.87,11163738.73,81353545.68,78.98,4529745.43,13286782.73,4079631.60,1602045.01,9627249.59,6166888.62,17192919.82,60.46,23849315.28,62.56,41877953.43,68.51,74045514.23,66.44,3044194.81,5392622.02,2793734.60,4823067.58,16381090.92,15709139.47,85363789.78,65.34,2533830.65,14959058.02,2475592.62,1885126.67,14115602.64,6561636.97
2003Apr,84413943.53,78.40,85838823.81,64.20,13907667.48,67.30,19493579.52,71.12,47255177.75,83.50,59939978.91,72.12,10044547.74,107.87,3415007.46,4184065.19,6304532.65,6218024.19,23392028.51,11730534.51,83251477.07,78.98,4546199.05,13514114.64,4505117.18,1606679.50,9749214.98,4817442.87,17541745.03,61.16,24385109.62,63.63,41963446.37,68.11,74711721.46,66.78,3142211.29,5170632.40,2855391.58,4923986.02,16831815.94,16364678.77,85836216.69,65.19,2772055.08,14960405.71,2546840.77,1760808.64,13891135.76,6129553.58
2003Mar,87360235.68,79.50,89114269.95,66.20,14456492.58,70.53,19415410.00,70.64,49169847.05,83.84,60657590.71,72.89,10576578.29,96.73,3293940.26,4561137.19,6099738.03,6297335.30,23598613.33,12619146.58,85595610.04,79.51,4454867.57,13594774.04,4372297.57,1630102.82,9455220.11,6139693.98,18164451.98,63.17,24202069.57,62.65,42135678.48,67.95,75056788.37,66.75,3363818.07,5391639.96,2714184.58,4727682.82,16344147.55,17105618.89,86269588.66,65.10,2655906.06,14936793.95,2530506.06,1877399.20,13717367.74,6284175.42
2003Feb,80525161.84,73.40,84077367.14,62.40,14016500.75,68.78,18977002.21,68.67,49046463.51,83.87,59201343.47,71.23,10934141.13,100.32,3230159.37,4492076.09,5834449.20,6156825.76,23083896.55,12201164.16,84361047.63,78.47,4526592.24,13524527.16,4604356.69,1574264.11,9425379.64,6109938.37,18725603.63,64.73,24577986.55,63.13,42846539.50,69.37,76989799.16,68.30,3379386.92,5706038.84,2931493.42,4720255.99,17127331.64,16564104.82,88296865.76,66.55,2581596.72,14972550.32,2537492.53,1960259.03,14326664.78,6969714.42
2003Jan,85463352.45,77.40,83438884.21,61.70,14875737.18,72.24,19577864.38,69.90,49197685.39,84.13,61523968.05,73.36,10721401.16,100.15,3338078.14,4520205.41,6158970.64,6286118.60,23511758.25,12243554.87,85724318.67,79.19,4722430.70,13594187.97,4652076.99,1633673.23,10174703.30,5783705.86,18299031.66,63.33,25668333.11,65.93,43966017.59,70.54,78935909.99,69.59,3568000.01,5812164.74,2976261.78,5274073.30,17128594.93,16786761.66,90208083.20,67.73,2620964.22,14927923.90,2439119.16,2088086.51,15556187.26,6502676.02
2002Dec,79174207.74,71.70,84500063.37,62.50,13744156.80,64.71,19115401.36,68.25,47457545.25,82.12,59126098.15,69.53,10069257.77,102.87,3253759.06,4419998.93,5695127.56,5593297.15,22518147.98,12548909.74,82645536.00,76.56,4429670.10,13277108.04,4109269.71,1622206.97,9717051.14,5631959.32,18383327.86,62.48,25205352.51,64.99,43401404.39,69.82,77189360.37,67.88,3458525.48,5223593.77,2747604.32,4904512.97,17188314.22,16710127.41,88666003.05,66.57,2716395.35,14735459.82,2368966.69,1897247.63,15204304.86,7121584.67
2002Nov,85234042.84,77.90,92837875.57,68.50,14334648.34,69.29,19332554.04,68.56,47485780.47,83.03,59981780.00,70.98,9065860.43,96.81,3133246.93,4250683.73,5695346.88,5526229.30,22890758.74,12175312.92,83346225.66,77.96,4693337.25,13201873.61,4272682.64,1582513.22,10726510.35,5489809.45,19520056.89,67.23,25593599.70,65.40,43909730.46,70.36,79747999.82,69.95,3385302.06,5379693.64,2771234.78,5005291.80,17646331.56,17135279.99,91190642.09,68.29,3005739.98,15046915.84,2442189.39,1961658.49,15900559.14,7152450.60
2002Oct,91002000.10,82.20,99308248.68,73.10,13838798.84,66.13,19082408.93,67.77,48296285.50,82.83,59550768.29,70.12,9814986.89,96.12,3513728.01,4400988.34,5511418.37,5999501.73,22694019.82,11996771.60,83353570.19,77.00,4621005.48,13146978.38,4134416.67,1559489.50,10324622.53,5564771.83,18974678.97,65.11,25472507.59,65.00,43450640.29,69.63,78000974.64,68.42,3810421.56,5281022.97,2678044.89,4925209.68,17457360.04,16846682.02,89594599.90,66.92,2777889.16,14958028.32,2373846.64,1849376.70,15188027.51,6861228.04
2002Sep,81669617.64,74.30,89581904.44,65.90,14077041.64,67.57,18645688.76,66.48,46760219.34,81.03,58961004.49,69.86,8948016.91,88.09,3307294.89,4354479.12,5354792.62,5510964.36,22237630.77,12471918.92,81496591.00,75.92,4628118.98,13031277.24,3994752.29,1522921.55,9625378.92,5472005.11,18812399.61,63.86,25530900.30,65.66,43610448.55,69.79,78050967.30,68.46,3482162.22,5462457.85,2715700.66,4863067.63,17565539.01,17196729.46,89999983.12,67.31,2837740.72,14940956.13,2435632.49,1849123.93,14996391.22,7317365.74
2002Aug,73139609.03,67.10,80596926.84,59.30,14269421.59,69.21,18817294.33,67.18,46032988.54,80.73,60007116.56,71.19,8381343.10,88.01,3323808.32,4708675.08,5355103.95,5041845.45,21908511.48,11991357.99,81250945.56,76.33,4534002.12,13003498.49,3923442.44,1549831.87,10591720.91,5213349.00,19401706.61,65.94,25768875.74,66.10,42961557.68,68.84,79326428.97,69.41,3565456.46,5632287.72,2669926.69,4952465.78,17447287.48,17368648.11,89802507.11,67.16,2840860.88,14659725.06,2358378.78,1810831.28,16029864.35,5988940.54
2002Jul,82629581.28,75.70,95794356.05,70.20,13548325.77,64.15,18703455.19,66.60,46667478.64,81.97,59121489.96,69.53,8548726.31,91.80,3356620.67,4133363.87,5149035.96,5495813.15,21494127.10,12470464.02,80577221.49,75.37,4453913.03,12942701.38,3844545.69,1488336.41,10429066.36,4955555.56,17939554.23,60.82,24995475.86,63.79,42498397.62,67.67,76616017.39,66.71,3495456.91,5155871.98,2397286.34,4901705.97,16562452.81,17101477.60,88122775.62,65.58,2758470.91,14428570.41,2206975.12,1744808.61,15147917.06,7426119.19
2002Jun,81074818.81,73.50,90525468.63,66.20,13308632.29,61.69,19118617.84,67.80,47811382.23,83.23,59594513.47,69.56,8846122.29,94.11,3391989.26,4531205.77,4897058.95,5462825.86,21387331.05,12612705.44,82507502.25,76.54,4574015.01,13064550.65,3929033.65,1444570.81,10498179.93,6156021.18,18762801.13,63.01,25249899.84,64.77,44273125.16,70.32,78528434.74,68.29,3776701.17,5675970.60,2571040.72,5030871.96,17437091.58,16965861.50,89891373.11,66.72,2772808.96,14837765.90,2341434.03,1812832.46,15148368.48,6925473.41
2002May,84051011.46,75.00,91218523.56,66.20,13515319.53,62.17,18846734.06,66.49,48082421.40,81.75,60294636.90,69.68,9293697.56,92.61,3187682.74,4477013.46,5046506.31,5976181.06,21776620.69,13445996.49,82795131.38,75.44,4463182.84,12731859.90,3908955.84,1459025.26,10585611.06,5194646.47,19021595.83,63.65,24834221.15,63.21,44886100.40,70.75,80228661.21,69.34,3753205.27,5284283.50,2294567.90,5384404.11,17393188.96,18364498.50,90781493.90,66.88,2863808.48,14419019.85,2416172.47,1888761.37,15843525.93,5947312.92
2002Apr,87449273.62,78.30,90492019.84,65.20,14731025.45,67.76,19401816.75,68.26,48999364.59,83.67,61572296.48,70.99,9284692.69,93.51,3479670.32,4532596.86,5288736.08,6016261.65,21822262.09,13653895.42,85372498.65,78.11,4488353.43,12831334.42,4130313.77,1507986.06,11305029.20,6032348.60,18915442.71,63.37,25322708.87,63.63,43461060.01,68.00,78363795.16,67.40,3800447.22,5511521.85,2358182.49,5010016.40,16889464.06,17710533.37,89800809.11,65.74,2785324.47,14651462.18,2369347.56,1847126.80,15452473.84,6694574.80
2002Mar,83558707.11,74.80,92628527.43,66.70,14057011.63,63.68,18771548.83,65.61,47209490.15,81.33,60377731.19,69.10,8398325.04,92.83,3431704.04,4355153.38,5031242.21,5699739.24,21700893.47,13119693.55,82258778.66,75.26,4358686.45,12651297.08,3802928.58,1449557.27,11035204.69,4951021.30,19137819.67,63.29,25078204.36,62.94,44257271.72,69.50,79416313.29,68.13,3819821.25,5494817.12,2318271.99,5043700.55,17216359.81,17844457.20,90550135.03,66.21,2791201.16,14107428.40,2432391.55,1814749.05,16072575.55,6460520.72
2002Feb,78692193.74,71.50,84391154.78,60.70,14255553.90,65.43,19123807.12,66.76,46920939.59,82.54,60329622.63,69.55,8468854.57,101.52,3322113.49,4497893.51,5169526.31,6097223.90,21334845.85,12780175.11,82745000.82,76.86,4341679.79,12543727.70,3568163.65,1452714.75,11381081.38,5782966.85,18503667.24,61.48,24984501.53,62.30,43258387.82,67.85,78201677.10,66.85,3650996.00,5475341.20,2198328.13,4997530.01,16626605.74,17672808.83,88684749.31,64.69,2691926.48,14353153.53,2450169.64,1740251.87,15531833.05,6116364.12
2002Jan,81380021.70,74.50,81247876.58,58.50,13443163.40,62.04,18960387.15,66.62,46696475.20,83.02,58831642.85,68.08,8393316.11,104.37,3244880.54,4132061.41,4999935.31,5829451.66,21071837.15,12953844.81,80932163.38,75.71,4329161.54,12167950.96,3548177.34,1430219.08,11113631.64,5499448.14,18677192.90,61.92,24671448.48,61.99,42186101.05,66.00,76804090.79,65.65,3566287.96,5082516.67,2245894.03,4911868.29,16181942.47,17643333.01,87052539.66,63.57,2607240.12,13744463.53,2383980.09,1476699.58,15247342.40,6708309.50
2001Dec,75129364.51,68.00,81839929.31,59.10,14093386.17,64.90,18648413.85,65.35,45932830.29,80.56,59185876.87,67.82,8014103.22,103.04,3256740.32,4440363.14,4748027.10,5677807.58,21025238.18,12911402.31,81124624.97,75.15,4329886.08,12317464.77,3879455.78,1390850.88,10841160.40,5410311.47,19396885.24,64.30,24670482.68,62.31,42521604.93,66.86,77962860.28,66.89,4235330.56,5306653.44,2300792.71,4990467.74,16941048.39,17174805.95,88984785.20,65.31,2947080.22,14341939.23,2553812.15,1515730.21,15096898.88,6980862.03
2001Nov,85918777.41,78.80,91042461.97,66.70,14475377.53,67.77,18397626.57,65.51,46659375.10,82.58,59397140.01,69.50,7568492.89,93.09,3250677.02,4624461.41,5048466.82,5442597.19,21232056.31,12309481.18,81217572.43,76.08,4512274.03,12409433.04,3671830.43,1442156.02,10830762.15,6016015.34,18840378.88,63.57,23042695.64,59.03,41661807.30,66.42,74492369.37,64.94,3811903.96,5245650.23,2148314.34,5059881.11,16507219.81,16485088.65,85736970.07,63.88,2752759.73,14034105.38,2333856.84,1420995.78,14113554.86,6701597.18
2001Oct,88654738.09,80.80,97315539.44,71.20,14574783.70,68.78,18409659.06,65.64,46460767.18,81.36,59377039.85,69.31,8137951.97,95.14,3432421.92,4576384.14,4647219.01,5767564.08,21016417.30,12942480.78,81742123.97,76.36,4605504.56,12350443.48,3522175.73,1471728.96,11114012.21,5546481.97,19939348.41,67.20,23725293.93,61.42,42636947.18,67.55,76858385.61,67.00,4042332.92,5348376.12,2254969.71,5328709.06,16778390.03,17404633.98,87879654.64,65.39,2835343.81,13860755.61,2327358.55,1491391.15,15105445.34,6254321.75
2001Sep,79459076.20,71.40,82835318.05,60.30,14224724.80,66.53,18314925.64,64.52,46676866.24,79.94,58778627.16,68.69,9174527.88,90.95,3349713.08,4197545.21,4713244.34,6212176.15,21310207.15,13034766.22,81522014.66,74.79,4641982.30,12249543.22,4082188.76,1444689.89,10403716.92,5181366.50,18518435.07,63.01,23750901.99,61.49,41629827.05,65.13,74694035.32,64.95,3683323.99,5594580.56,1972383.65,4885749.62,16031175.10,17540981.48,86202079.69,63.82,2806380.70,13639272.66,2225058.35,1381525.17,14237364.19,6963145.08
2001Aug,77307416.54,68.20,81407283.24,58.80,14187788.72,64.55,19314549.19,67.24,47617760.08,80.14,61222970.20,69.81,8788165.49,88.98,3399006.49,4432993.85,4892729.12,5922236.37,22048946.43,12825394.60,83703339.96,75.34,4701002.92,12807396.42,3757482.78,1428113.39,11530077.53,5593523.52,20279652.63,67.86,23865254.69,60.90,42100163.97,65.78,77687889.20,66.81,4182767.24,5824973.89,2503635.17,5262468.70,17060550.81,17061685.33,87794600.96,64.52,2787858.43,14091681.55,2236588.07,1504557.27,14846614.83,5815382.59
2001Jul,84797626.53,73.50,92140029.03,65.90,14996877.78,67.06,18848963.64,65.28,49214692.51,81.07,61721925.26,69.70,9224691.80,88.80,3469141.03,4493942.05,4903906.47,6506207.32,22576867.83,12556882.71,85097393.44,75.38,4906379.46,12422717.32,4189996.29,1449796.32,11645818.36,5817308.29,18816539.56,62.60,23469461.05,59.35,43434182.02,66.95,76941686.42,65.45,4271059.62,5421034.10,2085635.98,4891745.58,16563552.67,17025554.14,87975025.96,63.93,2682309.46,13994226.07,2222912.47,1441830.45,15633505.37,6639196.34
2001Jun,87732197.82,75.50,91545397.01,65.70,15338307.12,68.22,18971645.45,66.22,51844244.84,84.33,63223191.72,71.74,10834951.92,96.45,3736129.97,4365838.76,5044025.96,6693107.26,23489843.78,13305184.07,88439783.06,77.82,4970278.04,12473866.57,4534833.22,1491728.53,12364009.19,5898446.46,19463766.29,64.83,24675632.06,62.64,44354682.24,68.62,79144103.75,67.74,4348696.04,5542146.27,1973803.68,5078981.24,17405023.24,17822781.79,90173185.64,65.77,3113153.71,14019312.27,2234234.16,1544110.26,15776726.75,6339401.14
2001May,89536326.63,77.90,90061751.60,65.20,15085759.59,68.12,18567959.29,64.99,50525609.82,83.11,62054174.94,70.84,9652524.10,89.29,3507292.57,4410850.50,4828940.11,6350137.55,23048297.15,13284530.32,86231728.12,76.69,5177978.58,12271492.79,4125649.46,1436524.01,11573429.11,6275694.53,18895951.57,63.31,23552245.44,60.65,42763236.05,66.66,76265429.65,65.91,4223759.43,5818413.98,2044529.84,5026247.67,16654911.44,17165621.86,87048674.37,64.05,2874334.50,13848171.56,2069034.70,1367517.32,15000662.17,5878944.68
2001Apr,84802057.93,74.80,83614429.25,60.40,15755343.78,71.60,18635149.36,65.74,50469627.01,84.45,62841776.38,72.18,9440915.82,96.11,3381256.90,4564607.83,5072759.67,6426118.92,23862175.22,13464348.17,86999262.32,78.42,5410751.37,12177660.40,3991858.92,1375655.53,11658490.28,6110417.41,20058203.25,67.12,22641376.53,57.93,42686211.10,66.29,76102621.77,65.45,4318031.88,5620154.21,2108825.62,5038886.71,16441109.58,16943829.79,87784897.25,64.35,2816315.78,13703587.04,1976360.29,1246877.37,15156910.49,7426289.84
2001Mar,92782012.28,81.90,94714536.22,68.70,17098543.36,76.79,17939063.13,63.62,50793854.64,85.24,63685195.67,73.15,9294173.79,95.13,3333981.58,4526200.62,4797555.22,6463564.87,23715237.39,12999074.39,87913906.93,79.24,5195787.02,12365904.84,3900035.89,1369678.80,13046145.95,6242451.26,19408269.78,65.33,23005855.65,59.09,43504661.97,68.06,77175745.53,66.78,4170192.33,5749446.05,2003289.75,4948535.95,17080923.47,16824759.75,87920823.82,64.85,3110722.84,14106152.44,2046825.58,1352240.01,15223303.43,6383250.79
2001Feb,83476303.87,73.30,83491740.88,61.00,16268274.85,75.08,18186213.15,64.84,51282034.53,84.24,63986624.78,73.41,9842948.42,94.44,3519329.21,4545764.60,4835706.00,6399730.01,23744380.78,13351368.63,87848031.52,78.76,5485222.80,12386053.38,4242640.42,1371719.05,12368625.64,5948177.44,19960412.25,67.75,22867886.61,59.51,43274721.74,67.79,77740477.41,67.77,4471336.84,5694772.53,1860745.16,5445983.54,16994816.78,16623143.79,87526792.91,64.97,3072008.50,13847780.59,1904705.85,1814550.05,15157427.59,5453210.49
2001Jan,89438574.09,78.60,81972594.75,59.70,16328441.00,73.33,18263994.62,65.29,52191810.30,86.83,64463896.43,73.87,10104321.55,101.23,3624537.43,4374783.58,4903132.40,6440464.60,24386109.86,13850879.41,88488804.27,79.44,5658133.02,12554796.08,4310207.98,1314524.70,12450705.14,5151547.64,19717458.65,66.77,22894097.05,60.06,43934417.26,68.14,77191458.03,66.96,4253485.12,5617271.81,1950855.33,4794831.45,17011245.17,16493019.74,88715781.43,65.60,2927201.61,13911628.53,1768783.48,1964732.52,16121502.99,6713638.70
2000Dec,89189399.52,76.80,85795259.25,61.90,17438966.73,77.57,19188963.06,67.42,54995669.14,88.47,68130253.79,77.40,11571288.76,101.88,3780207.63,4475055.10,5061408.44,7224082.37,25904275.95,14268579.50,94575692.02,83.33,6194272.66,12781176.38,4440203.94,1351891.11,14061766.87,6105760.58,19612827.93,65.32,23297908.44,60.79,45653181.37,70.37,80327495.31,69.34,4598855.75,5779190.57,2319390.88,5117054.22,17630005.86,17419438.45,90123969.17,66.15,3093580.69,14217018.50,1886640.21,2143687.72,16224892.44,4952569.53
2000Nov,98840552.47,83.20,95157568.24,68.30,16599751.81,73.84,18958891.57,66.27,55420642.52,86.76,65535421.53,73.83,12547733.78,97.73,3674886.18,4337479.59,4912701.63,6844054.47,25768385.22,14903780.88,93716638.51,80.66,5720244.21,12392362.12,4624863.27,1289121.10,12884556.39,7121572.47,19332490.56,64.62,23122062.21,59.70,45184350.59,69.23,77766649.09,66.80,4387525.93,5486986.57,2109009.61,5230925.62,17335788.42,16953195.46,89587211.96,65.43,3017070.16,14035072.11,1789831.96,2661071.18,15735420.95,6028115.74
2000Oct,97258059.49,82.40,94841551.42,67.80,16694003.38,74.97,18702778.19,65.63,54229990.78,85.47,65800667.72,74.31,11946166.00,92.92,3616862.81,4316602.90,5172248.61,7089409.52,26637711.07,13975727.58,92315426.43,79.97,5942952.68,12487740.46,4358551.98,1270451.38,12875668.52,5703752.13,19402944.15,65.70,22560040.34,57.79,45151749.68,68.92,76745158.75,65.84,4069918.24,5758880.27,2066283.20,4899584.89,17076438.53,16480629.52,88978585.39,64.66,3052634.95,14150110.76,1745053.37,2477694.59,16259835.51,6177973.15
2000Sep,90478491.62,77.50,86727505.99,63.10,16207246.89,73.82,18536129.68,65.65,53061384.25,84.54,64352612.57,73.47,11746287.58,91.49,3540652.65,4572643.70,4909039.57,6575295.89,25650475.20,13385952.87,90250324.24,79.00,5592208.07,12012707.78,4102671.41,1280700.74,12910668.92,6207895.49,19515103.20,65.61,21836546.94,57.05,43689191.63,68.35,75607538.98,65.83,4145041.95,5469926.87,1882585.53,5149844.96,16415359.92,16176009.81,86520426.50,64.06,3046528.50,13539432.02,1626862.93,2354509.87,15692091.84,5886276.52
2000Aug,80841871.05,70.90,77163397.56,56.10,16081305.55,73.73,18033727.20,64.47,51182431.20,84.19,63584199.08,73.49,10240441.94,90.73,3461681.74,4268162.66,4647377.59,5981912.89,24470200.18,13504932.94,87273086.80,78.24,5763264.79,12112249.01,4087690.58,1257566.78,12343381.82,5854339.43,17838765.80,59.98,21247284.01,55.51,42762057.55,66.90,72860983.57,63.28,3980129.04,5402322.22,1914901.70,4437085.97,16392389.27,15842678.78,83925043.06,62.22,2977031.21,13696718.07,1546379.94,2284338.41,14550066.21,5891626.04
2000Jul,81481595.95,72.00,83145114.01,61.20,14903975.65,68.18,17815922.70,64.38,49711090.02,82.59,61145287.35,70.93,10034135.88,90.60,3208946.68,4272608.51,4405504.86,6078131.06,23921328.61,13156597.33,85009118.38,76.83,5863164.57,11914254.09,3929838.93,1221081.60,11893997.79,5319212.20,17250036.52,58.07,21164355.97,55.59,41924829.15,66.59,72000287.02,63.16,4145965.33,5534959.77,1484366.04,4729649.44,15492423.48,15537312.27,82338687.84,61.66,2831583.55,13289511.38,1466594.15,2206078.57,14327465.28,5553690.90
2000Jun,84966696.18,75.80,83119264.68,61.60,15242004.13,70.11,17732092.69,64.78,49706400.89,83.77,61077434.73,71.38,10413059.50,97.59,3300920.87,4132561.05,4514817.68,5963540.35,24860853.89,13194990.14,84676004.15,77.26,5728600.35,11548607.24,3839505.50,1229815.19,11811182.01,4758537.30,17691627.10,59.48,20781451.21,55.85,40940347.56,65.19,70651338.92,62.44,3565066.35,5466534.58,1555428.74,5292029.44,15118640.17,15756494.24,81368523.89,61.32,2796900.72,12992915.98,1529878.81,2094776.06,14061447.08,5469422.17
